,method,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_LOC,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_TS,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_LOC,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_II_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_II_TS,REMOVING_TAUTOLOGIES_OF_LOC,REMOVING_TAUTOLOGIES_OF_TS,REMOVING_CONTRADICTIONS_OF_LOC,REMOVING_CONTRADICTIONS_OF_TS,PRUNING_USELESS_CLAUSES_OF_LOC,PRUNING_USELESS_CLAUSES_OF_TS,REMOVING_DEAD_ASSIGNMENTS_OF_LOC,REMOVING_DEAD_ASSIGNMENTS_OF_TS,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_TS,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_TS,REMOVING_LOCALS_OF_LOC,REMOVING_LOCALS_OF_TS,REMOVING_SPEC_PUBLIC_OF_LOC,REMOVING_SPEC_PUBLIC_OF_TS,DOING_BACKWARDS_PROPAGATION_OF_LOC,DOING_BACKWARDS_PROPAGATION_OF_TS,SIMPLIFYING_LABELS_OF_LOC,SIMPLIFYING_LABELS_OF_TS,REMOVING_DUPLICATE_ASSIGNMENTS_OF_LOC,REMOVING_DUPLICATE_ASSIGNMENTS_OF_TS,FIXING_RESULTS_LOC,FIXING_RESULTS_TS,CLEANING_PRESTATE_ASSIGNABLES_LOC,CLEANING_PRESTATE_ASSIGNABLES_TS,REMOVING_USELESS_POSTCONDITIONS_LOC,REMOVING_USELESS_POSTCONDITIONS_TS,PRUNING_USELESS_CLAUSES_II_OF_LOC,PRUNING_USELESS_CLAUSES_II_OF_TS,ADDING_PURITY_LOC,ADDING_PURITY_TS,REDUCTION_ANALYSIS_LOC,REDUCTION_ANALYSIS_TS
22,org.json.JSONArray.length(),-1,-1,-1,-1,353,80,353,80,225,0,48,1,13,0,13,169,13,104,13,0,11,0,11,0,11,0,11,0,5,0,5,3,5,0,5,0,5,0,5,0,5,1
23,org.json.JSONArray.optDouble(int),-1,-1,-1,-1,76,25,76,25,76,0,76,0,76,0,76,340,76,30,76,0,70,0,70,1,70,0,70,0,49,1,49,0,23,0,4,0,4,0,4,1,-1,-1
24,"org.json.JSONArray.optDouble(int,double)",-1,-1,-1,-1,61,13,61,13,61,0,61,0,61,0,61,411,61,21,61,0,56,1,56,0,56,0,56,0,39,1,39,1,18,0,4,0,4,0,4,0,-1,-1
25,org.json.JSONArray.optInt(int),-1,-1,-1,-1,1441,365,1441,365,1441,3,1441,4,1441,3,1441,289,1441,479,1441,1,1344,7,1344,1,1344,2,1344,2,1040,8,1040,13,464,3,4,0,4,0,4,0,-1,-1
26,"org.json.JSONArray.optInt(int,int)",-1,-1,-1,-1,301,67,301,67,301,0,301,0,301,0,301,387,301,98,301,1,280,2,280,0,280,1,280,0,206,2,206,2,92,1,4,0,4,1,4,0,-1,-1
27,"org.json.JSONArray.<E>optEnum(java.lang.Class<E>,int)",-1,-1,-1,-1,257,45,257,45,257,0,257,0,257,1,257,221,257,64,257,0,224,2,224,0,224,0,224,1,152,1,152,2,120,1,120,0,120,0,120,1,56,6
28,org.json.JSONArray.optJSONArray(int),-1,-1,-1,-1,23,4,23,4,23,0,23,0,23,0,23,173,23,4,23,0,18,0,18,0,18,1,18,0,16,0,16,0,8,0,4,0,4,0,4,0,-1,-1
29,org.json.JSONArray.optJSONObject(int),-1,-1,-1,-1,12,1,12,1,12,1,12,0,12,0,12,175,12,3,12,0,9,0,9,0,9,0,9,0,8,0,8,0,4,1,4,0,4,0,4,0,4,0
30,org.json.JSONArray.optLong(int),-1,-1,-1,-1,61,14,61,14,61,1,61,0,61,0,61,279,61,19,61,0,56,0,56,0,56,0,56,0,39,1,39,0,18,0,4,0,4,0,4,0,-1,-1
31,"org.json.JSONArray.optLong(int,long)",-1,-1,-1,-1,46,10,46,10,46,0,46,1,46,0,46,387,46,16,46,0,42,1,42,0,42,0,42,0,29,0,29,1,13,0,4,0,4,0,4,0,-1,-1
